#Calcul du déplacement moyen
#Time	dqmoy	part_0
1	0.08352141336325311	0.08352141336325311
2	0.18951051092649335	0.18951051092649335
3	0.2922968618977462	0.2922968618977462
4	0.39149399204130475	0.39149399204130475
5	0.4880904921187992	0.4880904921187992
6	0.5857410340647924	0.5857410340647924
7	0.6891771626774943	0.6891771626774943
8	0.7964424380947668	0.7964424380947668
9	0.8995908317989394	0.8995908317989394
10	0.9975952204315142	0.9975952204315142
11	1.0907153308570963	1.0907153308570963
12	1.184487816237726	1.184487816237726
13	1.2811023155967607	1.2811023155967607
14	1.3794887021173148	1.3794887021173148
15	1.4739678272898076	1.4739678272898076
16	1.5637354150947447	1.5637354150947447
17	1.6501925946416103	1.6501925946416103
18	1.7329597429531338	1.7329597429531338
19	1.8145255652935879	1.8145255652935879
20	1.8979107977690175	1.8979107977690175
21	1.9815488728485748	1.9815488728485748
22	2.064693861556563	2.064693861556563
23	2.1484578794912617	2.1484578794912617
24	2.229871120641386	2.229871120641386
25	2.313714986243273	2.313714986243273
26	2.3978827721898623	2.3978827721898623
27	2.4810272882123865	2.4810272882123865
28	2.5655851806606425	2.5655851806606425
29	2.6464340011863143	2.6464340011863143
30	2.72570656180926	2.72570656180926
31	2.808500536460806	2.808500536460806
32	2.8930327190218534	2.8930327190218534
33	2.979485802283593	2.979485802283593
34	3.062648621300324	3.062648621300324
35	3.1435597565802595	3.1435597565802595
36	3.2252215278621215	3.2252215278621215
37	3.3060433009498524	3.3060433009498524
38	3.3845509134935163	3.3845509134935163
39	3.462338589046801	3.462338589046801
40	3.5383345091072345	3.5383345091072345
41	3.612368589552819	3.612368589552819
42	3.6858189898254645	3.6858189898254645
43	3.7580673825468445	3.7580673825468445
44	3.829075482303141	3.829075482303141
45	3.9000002525361843	3.9000002525361843
46	3.969469270379578	3.969469270379578
47	4.040910146342581	4.040910146342581
48	4.115477312435294	4.115477312435294
49	4.189813287600291	4.189813287600291
50	4.266319247256927	4.266319247256927
51	4.340872296923649	4.340872296923649
52	4.414180629763624	4.414180629763624
53	4.491697778193929	4.491697778193929
54	4.56667624194457	4.56667624194457
55	4.639799275772596	4.639799275772596
56	4.713230242230819	4.713230242230819
57	4.785793315901946	4.785793315901946
58	4.8616651715786094	4.8616651715786094
59	4.938986562623477	4.938986562623477
60	5.018253030056011	5.018253030056011
61	5.096574050111379	5.096574050111379
62	5.175109370089205	5.175109370089205
63	5.256305201847125	5.256305201847125
64	5.338391042993273	5.338391042993273
65	5.420912587722327	5.420912587722327
66	5.503953201538674	5.503953201538674
67	5.588955684890188	5.588955684890188
68	5.676624013248255	5.676624013248255
69	5.765948051843704	5.765948051843704
70	5.857709377993558	5.857709377993558
71	5.952289977921537	5.952289977921537
72	6.045601499873261	6.045601499873261
73	6.136709755988358	6.136709755988358
74	6.2276121258696095	6.2276121258696095
75	6.321643613176432	6.321643613176432
76	6.420285369101737	6.420285369101737
77	6.5195261261714545	6.5195261261714545
78	6.61677413069693	6.61677413069693
79	6.710978177841147	6.710978177841147
80	6.801856569337687	6.801856569337687
81	6.890815051182818	6.890815051182818
82	6.982623239002026	6.982623239002026
83	7.073218925973519	7.073218925973519
84	7.1583447367753905	7.1583447367753905
85	7.2404541758959855	7.2404541758959855
86	7.31947995132221	7.31947995132221
87	7.401474418389474	7.401474418389474
88	7.487147115412599	7.487147115412599
89	7.568301496620657	7.568301496620657
90	7.648595849594265	7.648595849594265
91	7.719150287263856	7.719150287263856
92	7.78974957721773	7.78974957721773
93	7.86251368508057	7.86251368508057
94	7.935342856658739	7.935342856658739
95	8.006830933966405	8.006830933966405
96	8.077220554870717	8.077220554870717
97	8.145939595621591	8.145939595621591
