#Calcul du déplacement moyen
#Time	dqmoy	part_0
1	0.10021428611637427	0.10021428611637427
2	0.18864481310859035	0.18864481310859035
3	0.29836187194984254	0.29836187194984254
4	0.38280398427835616	0.38280398427835616
5	0.49149640292816366	0.49149640292816366
6	0.5798572750055285	0.5798572750055285
7	0.690086262702865	0.690086262702865
8	0.7856953973072214	0.7856953973072214
9	0.8977171213055217	0.8977171213055217
10	0.9926280796813907	0.9926280796813907
11	1.1007255555899607	1.1007255555899607
12	1.192653838208563	1.192653838208563
13	1.30190828327029	1.30190828327029
14	1.4071034110531708	1.4071034110531708
15	1.5208253689890872	1.5208253689890872
16	1.6281194554798417	1.6281194554798417
17	1.7304452402742494	1.7304452402742494
18	1.828073462704541	1.828073462704541
19	1.9246373004218233	1.9246373004218233
20	2.022753941012044	2.022753941012044
21	2.1146439900675262	2.1146439900675262
22	2.2111372235983726	2.2111372235983726
23	2.296673571850654	2.296673571850654
24	2.390772020243161	2.390772020243161
25	2.473834920537669	2.473834920537669
26	2.570617590983078	2.570617590983078
27	2.6452904815339418	2.6452904815339418
28	2.73857564515629	2.73857564515629
29	2.813068890359809	2.813068890359809
30	2.9043583230192733	2.9043583230192733
31	2.9766044642415768	2.9766044642415768
32	3.069947720570181	3.069947720570181
33	3.14087099093208	3.14087099093208
34	3.2349799570591635	3.2349799570591635
35	3.306420817830347	3.306420817830347
36	3.394263544314505	3.394263544314505
37	3.4618135774666174	3.4618135774666174
38	3.5555041779162804	3.5555041779162804
39	3.629889343864384	3.629889343864384
40	3.724208080888279	3.724208080888279
41	3.800922312334654	3.800922312334654
42	3.894048491409859	3.894048491409859
43	3.968731720304773	3.968731720304773
44	4.056164593697693	4.056164593697693
45	4.129979276882477	4.129979276882477
46	4.215125855319558	4.215125855319558
47	4.287687389821865	4.287687389821865
48	4.3699108751172	4.3699108751172
49	4.447265141696977	4.447265141696977
50	4.5307984162542265	4.5307984162542265
51	4.616858539946561	4.616858539946561
52	4.706231839038255	4.706231839038255
53	4.799328916898739	4.799328916898739
54	4.882855053937119	4.882855053937119
55	4.97135543682953	4.97135543682953
56	5.051144056541021	5.051144056541021
57	5.139474443938832	5.139474443938832
58	5.2251506144432165	5.2251506144432165
59	5.322576782281994	5.322576782281994
60	5.401276547804379	5.401276547804379
61	5.495544886078894	5.495544886078894
62	5.570995135599217	5.570995135599217
63	5.669979473433482	5.669979473433482
64	5.7532187807879165	5.7532187807879165
65	5.855038585376375	5.855038585376375
66	5.932039384595626	5.932039384595626
67	6.0274425955347395	6.0274425955347395
68	6.100001514641061	6.100001514641061
69	6.194427645919607	6.194427645919607
70	6.271877320955353	6.271877320955353
71	6.371409615461362	6.371409615461362
72	6.445914866681697	6.445914866681697
73	6.535070456972366	6.535070456972366
74	6.605180834249751	6.605180834249751
75	6.6948811714544565	6.6948811714544565
76	6.765055071913249	6.765055071913249
77	6.848913892933714	6.848913892933714
78	6.919640520738396	6.919640520738396
79	7.003354810600477	7.003354810600477
80	7.074273685347241	7.074273685347241
81	7.154793279713675	7.154793279713675
82	7.2273980250035414	7.2273980250035414
83	7.302770370334643	7.302770370334643
84	7.37264070317836	7.37264070317836
85	7.443120005245479	7.443120005245479
86	7.511317776533689	7.511317776533689
